periodo,cole_area_ubicacion,cole_bilingue,cole_caracter,cole_cod_mcpio_ubicacion,cole_jornada,cole_mcpio_ubicacion,cole_naturaleza,cole_nombre_establecimiento,estu_privado_libertad,punt_ingles,punt_matematicas,punt_sociales_ciudadanas,punt_c_naturales,punt_lectura_critica,punt_global
20142,URBANO,N,TÉCNICO/ACADÉMICO,15176,COMPLETA,CHIQUINQUIRA,OFICIAL,I.E. TECNICO INDUSTRIAL JULIO FLOREZ,N,61.0,64.0,59.0,57.0,55.0,295.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15804,COMPLETA,TIBANA,OFICIAL,IE GUSTAVO ROMERO HERNANDEZ,N,52.0,52.0,56.0,56.0,57.0,275.0
20142,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,NO OFICIAL,COLEGIO MILITAR CORONEL JUAN JOSE RONDON,N,45.0,57.0,48.0,39.0,48.0,239.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,I.E ANTONIO JOSE SANDOVAL GOMEZ,N,45.0,51.0,41.0,38.0,41.0,215.0
20162,RURAL,NO REPORTADO,ACADÉMICO,15676,COMPLETA,SAN MIGUEL DE SEMA,OFICIAL,IE HATOVIEJO,N,37.0,31.0,36.0,43.0,42.0,190.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15861,COMPLETA,VENTAQUEMADA,OFICIAL,I.E. FRANCISCO DE PAULA SANTANDER,N,34.0,50.0,50.0,53.0,44.0,241.0
20172,RURAL,NO REPORTADO,ACADÉMICO,15238,TARDE,DUITAMA,OFICIAL,INSTITUCION EDUCATIVA SAN LUIS,N,34.0,39.0,32.0,41.0,36.0,184.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15861,COMPLETA,VENTAQUEMADA,OFICIAL,I.E. FRANCISCO DE PAULA SANTANDER,N,37.0,45.0,40.0,36.0,40.0,200.0
20162,URBANO,N,ACADÉMICO,15572,MAÑANA,PUERTO BOYACA,OFICIAL,IE SAN PEDRO CLAVER,N,46.0,51.0,49.0,51.0,48.0,247.0
20142,URBANO,N,TÉCNICO,15466,COMPLETA,MONGUI,OFICIAL,I.E.T. JOSE ACEVEDO Y GOMEZ,N,48.0,42.0,38.0,34.0,47.0,204.0
20194,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,OFICIAL,COLEGIO DE BOYACA,N,60.0,68.0,55.0,51.0,66.0,300.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15087,COMPLETA,BELEN,OFICIAL,I.E. TECNICA SUSANA GUILLEMIN,N,46.0,45.0,42.0,49.0,40.0,221.0
20194,URBANO,NO REPORTADO,NO REPORTADO,15176,SABATINA,CHIQUINQUIRÁ,NO OFICIAL,COLEGIO SUPERIOR SAN BARTOLOME,N,36.0,43.0,45.0,41.0,49.0,219.0
20162,RURAL,NO REPORTADO,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA EL CRUCERO,N,38.0,51.0,34.0,46.0,37.0,208.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,I.E. SILVINO RODRIGUEZ,N,49.0,49.0,57.0,56.0,52.0,266.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,N,58.0,65.0,62.0,68.0,61.0,317.0
20172,URBANO,N,ACADÉMICO,15572,TARDE,PUERTO BOYACA,OFICIAL,I.E. ANTONIA SANTOS,N,36.0,24.0,36.0,47.0,35.0,178.0
20224,URBANO,N,ACADÉMICO,15753,COMPLETA,SOATÁ,OFICIAL,IE JUAN JOSE RONDON,N,49.0,49.0,46.0,51.0,60.0,257.0
20152,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,OFICIAL,COLEGIO DE BOYACA,N,63.0,65.0,65.0,58.0,56.0,306.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15299,COMPLETA,GARAGOA,OFICIAL,I.E.T. SAN LUIS,N,68.0,40.0,64.0,58.0,63.0,286.0
20194,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,OFICIAL,COLEGIO DE BOYACA,N,62.0,60.0,67.0,58.0,57.0,303.0
20172,URBANO,N,TÉCNICO,15879,COMPLETA,VIRACACHA,OFICIAL,I.E. TECNICA AGROPECUARIA,N,56.0,68.0,66.0,61.0,55.0,310.0
20194,RURAL,N,TÉCNICO,15897,COMPLETA,ZETAQUIRA,OFICIAL,IE LIBARDO CUERVO PATARROYO,N,44.0,65.0,45.0,44.0,50.0,252.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,COLEGIO GUILLERMO LEON VALENCIA,N,68.0,66.0,68.0,63.0,70.0,334.0
20152,RURAL,N,TÉCNICO/ACADÉMICO,15632,MAÑANA,SABOYA,OFICIAL,IE NORMAL SUPERIOR,N,49.0,38.0,37.0,44.0,41.0,203.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,COLEGIO GUILLERMO LEON VALENCIA,N,47.0,61.0,61.0,65.0,58.0,301.0
20152,URBANO,N,ACADÉMICO,15822,MAÑANA,TOTA,OFICIAL,IE JORGE ELIECER GAITAN,N,63.0,62.0,54.0,58.0,53.0,286.0
20162,URBANO,N,TÉCNICO,15131,COMPLETA,CALDAS,OFICIAL,IE FRANCISCO JOSE DE CALDAS,N,60.0,58.0,55.0,57.0,52.0,278.0
20194,URBANO,N,ACADÉMICO,15176,TARDE,CHIQUINQUIRÁ,OFICIAL,I.E. JOSE JOAQUIN CASAS,N,54.0,65.0,61.0,62.0,65.0,313.0
20194,URBANO,N,ACADÉMICO,15226,UNICA,CUÍTIVA,OFICIAL,I.E. SANTO DOMINGO SAVIO,N,53.0,66.0,60.0,56.0,60.0,300.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15861,COMPLETA,VENTAQUEMADA,OFICIAL,I.E. FRANCISCO DE PAULA SANTANDER,N,46.0,34.0,39.0,35.0,31.0,179.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15238,SABATINA,DUITAMA,OFICIAL,COLEGIO TECNICO MUNICIPAL FRANCISCO DE PAULA SANTANDER,N,38.0,35.0,35.0,40.0,43.0,191.0
20152,RURAL,N,TÉCNICO/ACADÉMICO,15761,COMPLETA,SOMONDOCO,OFICIAL,IE NORMAL SUPERIOR VALLE DE TENZA,N,46.0,58.0,62.0,51.0,65.0,290.0
20194,URBANO,N,TÉCNICO,15820,COMPLETA,TÓPAGA,OFICIAL,I.E. TECNICA CARLOS JULIO UMAÑA TORRES,N,57.0,62.0,59.0,60.0,67.0,308.0
20194,URBANO,N,TÉCNICO,15367,COMPLETA,JENESANO,OFICIAL,I.E.T. COMERCIAL,N,58.0,54.0,62.0,54.0,58.0,285.0
20162,RURAL,N,ACADÉMICO,15861,COMPLETA,VENTAQUEMADA,OFICIAL,IE PANAMERICANO PUENTE BOYACA,N,48.0,68.0,60.0,68.0,68.0,323.0
20162,RURAL,N,ACADÉMICO,15632,MAÑANA,SABOYA,OFICIAL,IE JOSE MARIA CORDOBA,N,48.0,58.0,69.0,59.0,51.0,291.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,NO OFICIAL,COLEGIO CELCO,N,55.0,68.0,67.0,57.0,60.0,312.0
20152,RURAL,N,TÉCNICO/ACADÉMICO,15761,COMPLETA,SOMONDOCO,OFICIAL,IE NORMAL SUPERIOR VALLE DE TENZA,N,43.0,49.0,59.0,52.0,57.0,267.0
20152,URBANO,N,ACADÉMICO,15516,MAÑANA,PAIPA,OFICIAL,I.E. EL ROSARIO,N,58.0,61.0,59.0,63.0,52.0,293.0
20224,URBANO,N,ACADÉMICO,15822,MAÑANA,TOTA,OFICIAL,IE JORGE ELIECER GAITAN,N,39.0,52.0,46.0,50.0,39.0,231.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15491,MAÑANA,NOBSA,OFICIAL,I.E. TECNICA DE NOBSA,N,51.0,33.0,46.0,44.0,45.0,213.0
20194,URBANO,N,TÉCNICO,15835,COMPLETA,TURMEQUÉ,OFICIAL,I.E. TECNICA INDUSTRIAL,N,65.0,60.0,55.0,51.0,62.0,288.0
20172,URBANO,NO REPORTADO,ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,INSTITUTO TECNICO NUEVA FAMILIA.,N,60.0,53.0,55.0,57.0,58.0,280.0
20142,URBANO,N,ACADÉMICO,15572,TARDE,PUERTO BOYACA,OFICIAL,IE SAN PEDRO CLAVER,N,49.0,56.0,56.0,55.0,57.0,277.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,NO OFICIAL,COLEGIO CELCO,N,74.0,70.0,68.0,72.0,66.0,347.0
20162,RURAL,N,ACADÉMICO,15238,SABATINA,DUITAMA,OFICIAL,COLEGIO DE BACHILLERATO NUEVA ESPERANZA,N,63.0,57.0,53.0,58.0,65.0,292.0
20172,URBANO,N,TÉCNICO,15236,UNICA,CHIVOR,OFICIAL,I.E.T. AGROPECUARIO LA ESMERALDA,N,44.0,47.0,52.0,54.0,49.0,250.0
20162,URBANO,N,TÉCNICO,15176,MAÑANA,CHIQUINQUIRA,NO OFICIAL,COLEGIO DE EDUCACION BASICA Y MEDIA TECNICA NUESTRA SEÑORA DE NAZARETH,N,53.0,55.0,52.0,52.0,48.0,259.0
20152,URBANO,NO REPORTADO,ACADÉMICO,15001,COMPLETA,TUNJA,NO OFICIAL,COL COOPTEBOY,N,52.0,52.0,53.0,45.0,49.0,250.0
20194,RURAL,N,TÉCNICO,15185,UNICA,CHITARAQUE,OFICIAL,I.E. SAN PEDRO CLAVER,N,43.0,59.0,53.0,60.0,50.0,273.0
20194,RURAL,NO REPORTADO,ACADÉMICO,15516,MAÑANA,PAIPA,OFICIAL,I.E. RAFAEL BAYONA NIÑO,N,42.0,42.0,44.0,45.0,56.0,232.0
20142,RURAL,NO REPORTADO,TÉCNICO,15693,COMPLETA,SANTA ROSA DE VITERBO,OFICIAL,I.E. TECNICA EL PORTACHUELO,N,52.0,56.0,58.0,40.0,52.0,258.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15759,NOCHE,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA MAGDALENA,N,49.0,42.0,52.0,35.0,59.0,236.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,COLEGIO NACIONALIZADO LA PRESENTACION,N,40.0,53.0,48.0,54.0,52.0,254.0
20142,URBANO,N,TÉCNICO,15407,MAÑANA,VILLA DE LEYVA,OFICIAL,I.E. TEC IND ANTONIO RICAURTE,N,42.0,60.0,36.0,53.0,43.0,238.0
20162,URBANO,N,ACADÉMICO,15162,COMPLETA,CERINZA,OFICIAL,I.E. DE CERINZA,N,38.0,48.0,50.0,54.0,47.0,244.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15189,COMPLETA,CIENEGA,OFICIAL,I.E. JOSE CAYETANO VASQUEZ,N,61.0,53.0,48.0,56.0,44.0,256.0
20142,URBANO,N,ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,COLEGIO BOYACA DE DUITAMA,N,49.0,44.0,47.0,44.0,48.0,230.0
20162,URBANO,N,ACADÉMICO,15238,MAÑANA,DUITAMA,NO OFICIAL,COLEGIO BOSTON,N,42.0,42.0,35.0,41.0,37.0,195.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15762,COMPLETA,SORA,OFICIAL,IE DE SORA,N,43.0,46.0,36.0,51.0,35.0,210.0
20152,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,NO OFICIAL,COLEGIO SALESIANO MALDONADO,N,49.0,62.0,59.0,60.0,47.0,282.0
20142,RURAL,NO REPORTADO,TÉCNICO,15667,COMPLETA,SAN LUIS DE GACENO,OFICIAL,I.E. TELEPALMERITAS,N,51.0,47.0,40.0,53.0,48.0,237.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15238,UNICA,DUITAMA,OFICIAL,COLEGIO NACIONALIZADO LA PRESENTACION,N,57.0,62.0,58.0,68.0,57.0,305.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15187,MAÑANA,CHIVATÁ,OFICIAL,I.E. AGROPECUARIO,N,48.0,70.0,51.0,54.0,53.0,282.0
20152,RURAL,NO REPORTADO,TÉCNICO/ACADÉMICO,15001,TARDE,TUNJA,OFICIAL,INSTITUCION EDUCATIVA RURAL DEL SUR,N,53.0,55.0,53.0,48.0,57.0,266.0
20162,RURAL,N,ACADÉMICO,15837,COMPLETA,TUTA,OFICIAL,IE RIO DE PIEDRAS,N,37.0,49.0,43.0,53.0,49.0,239.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15693,COMPLETA,SANTA ROSA DE VITERBO,OFICIAL,IE CARLOS ARTURO TORRES PEÑA,N,49.0,53.0,67.0,62.0,56.0,293.0
20142,URBANO,N,ACADÉMICO,15572,NOCHE,PUERTO BOYACA,OFICIAL,IE SAN PEDRO CLAVER,N,47.0,48.0,55.0,47.0,54.0,253.0
20162,URBANO,N,ACADÉMICO,15469,COMPLETA,MONIQUIRA,NO OFICIAL,I.E. SAN MIGUEL ARCANGEL,N,72.0,67.0,62.0,64.0,68.0,330.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15224,COMPLETA,CUCAITA,OFICIAL,I.E. SAN FELIPE,N,68.0,60.0,57.0,56.0,57.0,292.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15676,COMPLETA,SAN MIGUEL DE SEMA,OFICIAL,I.E. ALFONSO VANEGAS SIERRA,N,54.0,59.0,50.0,51.0,56.0,270.0
20142,URBANO,N,ACADÉMICO,15176,COMPLETA,CHIQUINQUIRA,NO OFICIAL,COL MILITAR CORONEL FRAY JOSE IGNACIO MARIÑO,N,52.0,45.0,32.0,41.0,40.0,202.0
20194,URBANO,N,ACADÉMICO,15109,COMPLETA,BUENAVISTA,OFICIAL,I.E. JOSE MARIA SILVA SALAZAR,N,52.0,67.0,45.0,49.0,48.0,261.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,N,48.0,46.0,56.0,44.0,42.0,235.0
20142,URBANO,N,TÉCNICO,15531,SABATINA,PAUNA,OFICIAL,I.E.T NACIONALIZADO DE PAUNA,N,45.0,52.0,42.0,40.0,43.0,222.0
20162,URBANO,N,TÉCNICO,15407,MAÑANA,VILLA DE LEYVA,OFICIAL,I.E. TEC IND ANTONIO RICAURTE,N,49.0,64.0,46.0,58.0,50.0,270.0
20152,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,NO OFICIAL,COLEGIO DE LA PRESENTACION TUNJA,N,91.0,68.0,74.0,66.0,74.0,360.0
20152,RURAL,NO REPORTADO,TÉCNICO,15646,COMPLETA,SAMACA,OFICIAL,I.E. TECNICA LA LIBERTAD,N,40.0,34.0,38.0,43.0,41.0,195.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15176,MAÑANA,CHIQUINQUIRA,OFICIAL,I.E.T. COMERCIAL SAGRADO CORAZON DE JESUS,N,45.0,66.0,49.0,50.0,50.0,265.0
20162,URBANO,N,ACADÉMICO,15600,MAÑANA,RAQUIRA,OFICIAL,IE SAN ANTONIO,N,44.0,38.0,45.0,48.0,44.0,218.0
20152,URBANO,N,ACADÉMICO,15600,MAÑANA,RAQUIRA,OFICIAL,IE SAN ANTONIO,N,46.0,44.0,59.0,55.0,47.0,254.0
20172,RURAL,N,TÉCNICO/ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,INSTITUTO TECNICO JOSE MIGUEL SILVA PLAZAS,N,55.0,68.0,68.0,65.0,63.0,326.0
20152,URBANO,N,ACADÉMICO,15572,TARDE,PUERTO BOYACA,OFICIAL,IE JOSE ANTONIO GALAN,N,44.0,35.0,44.0,44.0,40.0,205.0
20162,URBANO,N,TÉCNICO,15276,COMPLETA,FLORESTA,OFICIAL,I.E. HECTOR JULIO RANGEL QUINTERO,N,57.0,64.0,49.0,62.0,51.0,283.0
20194,RURAL,N,ACADÉMICO,15861,COMPLETA,VENTAQUEMADA,OFICIAL,IE PANAMERICANO PUENTE BOYACA,N,52.0,54.0,45.0,53.0,56.0,260.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,N,48.0,53.0,50.0,55.0,59.0,269.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15837,COMPLETA,TUTA,OFICIAL,I.E. TÉCNICA CHICAMOCHA,N,41.0,48.0,47.0,37.0,53.0,229.0
20162,URBANO,N,ACADÉMICO,15001,COMPLETA,TUNJA,NO OFICIAL,COLEGIO LOS ÁNGELES,N,100.0,78.0,70.0,76.0,78.0,387.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,COLEGIO GUILLERMO LEON VALENCIA,N,44.0,67.0,65.0,60.0,67.0,316.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA INTEGRADO JOAQUIN GONZALEZ CAMARGO,N,57.0,60.0,48.0,59.0,64.0,288.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15001,MAÑANA,TUNJA,OFICIAL,ESCUELA NORMAL SUPERIOR LEONOR ALVAREZ PINZON,N,43.0,62.0,65.0,52.0,58.0,290.0
20194,URBANO,NO REPORTADO,NO REPORTADO,15176,MAÑANA,CHIQUINQUIRÁ,NO OFICIAL,COLEGIO NUEVA GRANADA,N,50.0,47.0,35.0,39.0,36.0,200.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,NOCHE,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA MAGDALENA,N,44.0,30.0,40.0,44.0,39.0,193.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA POLITECNICO ALVARO GONZALEZ SANTANA,N,62.0,80.0,74.0,67.0,66.0,355.0
20142,URBANO,N,ACADÉMICO,15808,MAÑANA,TINJACA,OFICIAL,IE MARIANO OSPINA PEREZ,N,48.0,48.0,53.0,50.0,60.0,262.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15332,COMPLETA,GÜICÁN DE LA SIERRA,OFICIAL,I.E. NORMAL SUPERIOR NUESTRA SEÑORA DEL ROSARIO,N,45.0,48.0,48.0,43.0,52.0,238.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15001,SABATINA,TUNJA,NO OFICIAL,COLEGIO CORPORACION SANTO DOMINGO,N,47.0,32.0,38.0,36.0,26.0,170.0
20172,URBANO,N,TÉCNICO,15238,UNICA,DUITAMA,OFICIAL,INSTITUTO TECNICO INDUSTRIAL RAFAEL REYES-DUITAMA,N,64.0,79.0,74.0,72.0,71.0,366.0
20142,RURAL,N,ACADÉMICO,15778,COMPLETA,SUTATENZA,OFICIAL,I.E. LOS NARANJOS,N,43.0,52.0,56.0,50.0,51.0,258.0
20162,URBANO,NO REPORTADO,ACADÉMICO,15238,COMPLETA,DUITAMA,NO OFICIAL,COLEGIO PEDAGOGICO LOS ALAMOS,N,59.0,59.0,65.0,59.0,51.0,291.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15176,NOCHE,CHIQUINQUIRA,OFICIAL,I.E. TECNICA PIO ALBERTO FERRO PEÑA,N,49.0,59.0,59.0,51.0,60.0,283.0
20152,RURAL,NO REPORTADO,TÉCNICO,15464,COMPLETA,MONGUA,OFICIAL,I.E. TUNJUELO,N,44.0,49.0,36.0,48.0,38.0,214.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15646,MAÑANA,SAMACA,OFICIAL,I.E. TECNICA NACIONALIZADA DE SAMACA,N,69.0,58.0,59.0,57.0,59.0,296.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15238,COMPLETA,DUITAMA,OFICIAL,COLEGIO TECNICO MUNICIPAL SIMON BOLIVAR,N,56.0,57.0,52.0,54.0,51.0,268.0
20194,URBANO,N,TÉCNICO,15407,MAÑANA,VILLA DE LEYVA,OFICIAL,I.E. TEC IND ANTONIO RICAURTE,N,65.0,70.0,53.0,66.0,62.0,315.0
20152,URBANO,S,TÉCNICO/ACADÉMICO,15673,COMPLETA,SAN MATEO,OFICIAL,I.E. NORMAL SUPERIOR,N,52.0,39.0,43.0,52.0,53.0,236.0
20194,RURAL,N,TÉCNICO,15839,COMPLETA,TUTAZÁ,OFICIAL,I.E. TECNICA LA LIBERTAD,N,33.0,59.0,43.0,44.0,44.0,232.0
20172,URBANO,N,TÉCNICO,15238,UNICA,DUITAMA,OFICIAL,INSTITUTO TECNICO INDUSTRIAL RAFAEL REYES-DUITAMA,N,50.0,48.0,36.0,50.0,50.0,232.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15176,NOCHE,CHIQUINQUIRA,OFICIAL,I.E. TECNICO INDUSTRIAL JULIO FLOREZ,N,41.0,30.0,30.0,32.0,39.0,167.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15189,COMPLETA,CIENEGA,OFICIAL,I.E. JOSE CAYETANO VASQUEZ,N,44.0,41.0,49.0,44.0,40.0,218.0
20142,URBANO,N,TÉCNICO,15425,COMPLETA,MACANAL,OFICIAL,I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL,N,51.0,58.0,59.0,58.0,56.0,286.0
20162,URBANO,N,ACADÉMICO,15572,MAÑANA,PUERTO BOYACA,OFICIAL,IE SAN PEDRO CLAVER,N,34.0,43.0,43.0,40.0,38.0,203.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15407,MAÑANA,VILLA DE LEYVA,OFICIAL,I.E. TEC Y ACAD ANTONIO NARIÑO,N,51.0,65.0,53.0,51.0,55.0,278.0
20162,RURAL,N,TÉCNICO,15572,MAÑANA,PUERTO BOYACA,OFICIAL,I.E. TECNICA AGROPECUARIA EL MARFIL,N,45.0,52.0,44.0,49.0,48.0,241.0
20172,URBANO,N,TÉCNICO,15272,COMPLETA,FIRAVITOBA,OFICIAL,I.E.T. DE FIRAVITOBA,N,42.0,43.0,36.0,39.0,48.0,208.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15762,COMPLETA,SORA,OFICIAL,IE DE SORA,N,37.0,45.0,55.0,52.0,53.0,251.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15599,COMPLETA,RAMIRIQUI,OFICIAL,I.E. TECNICA JOSE IGNACIO DE MARQUEZ,N,44.0,42.0,37.0,43.0,47.0,212.0
20142,URBANO,N,ACADÉMICO,15572,NOCHE,PUERTO BOYACA,OFICIAL,IE SAN PEDRO CLAVER,N,48.0,45.0,31.0,28.0,52.0,198.0
20194,URBANO,N,TÉCNICO,15407,MAÑANA,VILLA DE LEYVA,OFICIAL,I.E. TEC IND ANTONIO RICAURTE,N,49.0,56.0,46.0,58.0,47.0,258.0
20194,RURAL,N,TÉCNICO,15531,COMPLETA,PAUNA,OFICIAL,I.E. TECNICA AGROPECUARIA DE DESARROLLO RURAL,N,51.0,64.0,47.0,58.0,56.0,279.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA FRANCISCO DE PAULA SANTANDER,N,54.0,53.0,43.0,48.0,43.0,236.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15047,COMPLETA,AQUITANIA,OFICIAL,I.E. TECNICA RAMON IGNACIO AVELLA,N,54.0,50.0,58.0,59.0,51.0,272.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15238,MAÑANA,DUITAMA,OFICIAL,COLEGIO GUILLERMO LEON VALENCIA,N,70.0,80.0,70.0,72.0,65.0,358.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA TECNICO INDUSTRIAL GUSTAVO JIMENEZ,N,94.0,84.0,84.0,78.0,67.0,397.0
20194,URBANO,N,TÉCNICO/ACADÉMICO,15466,COMPLETA,MONGUÍ,OFICIAL,IE TECNICA DE MONGUI,N,49.0,64.0,56.0,64.0,59.0,299.0
20142,URBANO,N,ACADÉMICO,15600,MAÑANA,RAQUIRA,OFICIAL,IE SAN ANTONIO,N,42.0,40.0,39.0,44.0,40.0,204.0
20142,URBANO,N,ACADÉMICO,15162,COMPLETA,CERINZA,OFICIAL,I.E. DE CERINZA,N,41.0,50.0,61.0,50.0,52.0,262.0
20172,URBANO,N,TÉCNICO,15367,COMPLETA,JENESANO,OFICIAL,I.E.T. COMERCIAL,N,58.0,56.0,54.0,62.0,60.0,290.0
20172,URBANO,N,TÉCNICO,15425,COMPLETA,MACANAL,OFICIAL,I.E. TECNICA JAIME CAMPOS JACOME DE MACANAL,N,32.0,47.0,39.0,43.0,40.0,207.0
20142,URBANO,N,TÉCNICO,15001,MAÑANA,TUNJA,OFICIAL,INSTITUTO TECNICO GONZALO SUAREZ RENDON,N,52.0,53.0,59.0,60.0,54.0,281.0
20194,RURAL,NO REPORTADO,ACADÉMICO,15212,COMPLETA,COPER,OFICIAL,I.E. SAN MIGUEL,N,43.0,59.0,37.0,44.0,55.0,242.0
20172,URBANO,N,TÉCNICO,15897,COMPLETA,ZETAQUIRA,OFICIAL,IE SAN JOSE DE LA FLORIDA,N,36.0,44.0,31.0,37.0,43.0,193.0
20142,URBANO,N,ACADÉMICO,15572,NOCHE,PUERTO BOYACA,OFICIAL,IE JOSE ANTONIO GALAN,N,38.0,35.0,41.0,40.0,40.0,195.0
20142,URBANO,N,TÉCNICO,15572,MAÑANA,PUERTO BOYACA,NO OFICIAL,COLEGIO SANTA TERESITA,N,48.0,55.0,50.0,54.0,48.0,257.0
20194,RURAL,N,TÉCNICO,15104,COMPLETA,BOYACÁ,OFICIAL,I.E. TECNICA AGROPECUARIA SAN ISIDRO,N,40.0,49.0,42.0,43.0,38.0,214.0
20142,URBANO,N,ACADÉMICO,15401,COMPLETA,LA VICTORIA,OFICIAL,I.E. ALFONSO LOPEZ PUMAREJO,N,44.0,47.0,45.0,55.0,44.0,237.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15469,COMPLETA,MONIQUIRA,OFICIAL,I.E. TECNICA ANTONIO NARIÑO,N,45.0,54.0,45.0,51.0,46.0,244.0
20142,URBANO,N,TÉCNICO/ACADÉMICO,15763,COMPLETA,SOTAQUIRA,OFICIAL,I.E. TECNICA PABLO VI,N,40.0,53.0,43.0,53.0,44.0,238.0
20162,URBANO,N,TÉCNICO/ACADÉMICO,15837,COMPLETA,TUTA,OFICIAL,I.E. TÉCNICA CHICAMOCHA,N,55.0,68.0,62.0,70.0,61.0,323.0
20152,URBANO,N,TÉCNICO/ACADÉMICO,15759,MAÑANA,SOGAMOSO,OFICIAL,INSTITUCION EDUCATIVA MAGDALENA,N,52.0,52.0,53.0,52.0,47.0,255.0
20172,URBANO,N,TÉCNICO/ACADÉMICO,15176,MAÑANA,CHIQUINQUIRA,OFICIAL,I.E. NORMAL SUPERIOR SOR JOSEFA DEL CASTILLO Y GUEVARA,N,41.0,53.0,51.0,44.0,48.0,242.0
20152,URBANO,N,TÉCNICO,15466,COMPLETA,MONGUI,OFICIAL,I.E.T. JOSE ACEVEDO Y GOMEZ,N,49.0,52.0,54.0,56.0,62.0,277.0
